"","year","length_change","cum_length_change","emission_Total","emission_CO2","emission_CH4","emission_N2O","emission_HFC, PFC, SF6, NF3","temp_January","temp_February","temp_March","temp_April","temp_May","temp_June","temp_July","temp_August","temp_September","temp_October","temp_November","temp_December","temp_year"
"1",1990,-11.3202555777556,-11.3202555777556,54029339.6241957,44552264.5851122,234468.771672028,11281.306390438,253526.44293229,-1.50734149054505,2.93115763546798,3.91434927697442,4.07459770114943,11.2173526140156,12.083908045977,15.3921023359288,15.5678531701891,10.7183908045977,8.83604004449388,1.35850574712644,-3.22558398220245,6.78011099193107
"2",1991,-13.3645604395604,-24.5828317328317,55920724.3394664,46511525.5133598,231994.656749589,11309.1691417935,239200.003112376,-1.78298109010011,-3.6064039408867,4.43225806451613,3.97793103448276,6.50367074527253,11.7111494252874,16.586318131257,16.5901001112347,13.4959770114943,6.0448275862069,1.53034482758621,-2.4392658509455,6.08699383795046
"3",1992,-18.2709049284049,-42.9135805860806,55661195.6433285,46367196.773478,229333.327723502,11151.4606353499,237530.407428689,-2.54949944382647,-0.769322235434007,2.6035595105673,5.10919540229885,11.4222469410456,12.2108045977011,15.6738598442714,17.3454949944383,11.5420689655172,5.19488320355951,3.96,-0.961957730812013,6.7317778374439
"4",1993,-10.7720359915314,-52.9233558490439,53081571.0534967,43931449.1083447,225194.726359997,11182.914821825,187745.169248194,0.310901001112347,-2.17290640394089,1.1741935483871,6.52448275862069,11.0212458286986,13.5297701149425,13.8400444938821,15.135595105673,10.2431034482759,5.88776418242492,-0.0248275862068966,0.322691879866518,6.31600486431132
"5",1994,-10.1905130363464,-63.4927888469555,52062130.4254672,42981978.4550681,222870.040370759,11075.5611306328,207883.744201588,-0.614460511679644,-0.838793103448276,5.66651835372636,4.01091954022989,10.1788654060067,13.5813793103448,17.7864293659622,16.2757508342603,11.0814942528736,7.13537263626251,5.4832183908046,0.658843159065629,7.53379480286738
"6",1995,-9.92230315980316,-73.1558327474994,52971480.1576783,43701310.2570368,223240.017603053,11190.436311375,354419.439775419,-2.96952169076752,1.57130541871921,0.209454949944383,5.73252873563218,9.57786429365962,11.426091954023,17.4186874304783,14.4032258064516,9.02344827586207,10.0474972191324,1.75367816091954,-1.44416017797553,6.3958416980066
"7",1996,-13.2373340240007,-86.3931667715001,53649623.7984815,44368941.8628848,221238.210988333,11219.4344320811,406335.200128279,-0.752502780867631,-3.18252080856124,0.193325917686318,6.13758620689655,9.39232480533927,13.9619540229885,14.1170189098999,13.7449388209121,8.37379310344828,6.86763070077864,2.00827586206897,-1.62892102335929,5.7694086447692
"8",1997,-12.4822414314081,-98.8754082029082,52471952.8788511,43290315.6188507,215375.865729169,11044.4501188319,505994.4813593,-1.97675194660734,1.05283251231527,4.28120133481646,4.63172413793103,10.155617352614,12.4819540229885,13.6325917686318,16.1369299221357,12.9833333333333,6.98420467185762,2.49793103448276,-0.220467185761958,6.8867584132281
"9",1998,-17.8553307147398,-114.273913313959,54016757.0328932,44849037.8485611,212846.224948832,10785.1569998679,632586.774650686,-1.13147942157953,1.33916256157635,2.32269187986652,4.91413793103448,10.9145717463849,13.8859770114943,15.6284760845384,15.6301446051168,10.7594252873563,6.83926585094549,-0.76816091954023,-1.5769744160178,6.56310318343133
"10",1999,-11.7177451527452,-126.411713301713,53849260.5782851,44661678.4397247,209506.812813709,10886.4863490014,705738.886215235,-0.880422691879867,-3.17093596059113,2.54393770856507,5.19988505747126,11.8179087875417,12.2212643678161,15.7458286985539,15.1314794215795,13.4898850574713,7.54505005561735,0.0936781609195402,-1.37563959955506,6.53015992195914
"11",2000,-17.014743803597,-142.002818817268,53132026.8181882,43819365.4705496,207499.656409715,10993.0856465869,849230.414712872,-2.93270300333704,0.533888228299643,2.71512791991101,6.43896551724138,11.660956618465,14.7934482758621,13.1153503893215,15.8819799777531,12.3004597701149,7.71635150166852,2.52632183908046,1.22224694104561,7.16436616461884
"12",2001,-13.2374655161352,-152.799917360927,54664713.1451516,45271276.2661567,208797.695878317,10907.7424203171,922987.240782439,-1.09288097886541,0.156650246305419,4.16596218020022,3.82701149425287,12.015127919911,12.2465517241379,15.4500556173526,16.242936596218,8.64827586206897,10.514126807564,0.949425287356322,-3.07597330367075,6.67060578773593
"13",2002,-17.7028587153587,-168.271602471602,53158887.3470777,43641524.3757225,207027.755310327,11138.3442465164,1022442.50313514,-1.76607341490545,1.97266009852217,3.89187986651835,5.84471264367816,9.56240266963293,15.7357471264368,14.9805339265851,14.3953281423804,10.2786206896552,7.51857619577308,3.77988505747126,0.929143492769744,7.26028470787648
"14",2003,-27.5925352948938,-197.61596045464,54238740.1219831,44811492.2666508,204103.918644797,10672.3057020665,1144302.78999655,-2.80233592880979,-4.2826354679803,3.98064516129032,5.95885057471264,11.5030033370412,18.561724137931,16.7700778642937,19.0240266963293,11.752183908046,4.67085650723026,3.58942528735632,-0.40734149054505,7.35987338224129
"15",2004,-16.0444220873466,-214.988684428779,54833713.0955904,45382944.4904336,203228.289162643,10425.4959191619,1263263.59218052,-1.98097886540601,-0.864328180737218,1.2972191323693,5.86402298850575,8.74549499443826,13.492183908046,15.0835372636263,15.3660734149055,12.4362068965517,9.09132369299221,1.76206896551724,-1.28309232480534,6.58414432383363
"16",2005,-20.1372144522145,-234.249946719947,55488426.608882,45929631.8602013,204623.988989943,10522.2258266741,1307571.7275833,-2.8420467185762,-4.61440886699507,1.92347052280311,5.99471264367816,10.6804226918799,15.1572413793103,15.4216907675195,13.433147942158,12.6472413793103,8.64783092324805,1.40264367816092,-3.65494994438265,6.18308303317619
"17",2006,-20.8528727445394,-252.45467032967,55177038.213983,45513817.7477207,205372.943919538,10451.4358417726,1414368.98742555,-3.96384872080089,-2.42413793103448,0.177641824249166,5.72091954022989,10.1436040044494,14.6770114942529,18.8325917686318,12.0315906562848,14.1787356321839,10.1898776418242,4.56137931034483,0.261624026696329,7.03224910394265
"18",2007,-18.7912986704653,-272.253376407543,53257567.0982901,43503301.3298623,204621.655846363,10598.3607278726,1480412.87536269,1.06040044493882,1.82253694581281,2.67119021134594,10.2548275862069,11.1184649610679,13.9774712643678,14.8211345939933,14.2164627363737,10.2518987341772,7.04949944382647,0.861609195402299,-1.81635150166852,7.19076205132039
"19",2008,-20.2093542260209,-290.361496065663,54673561.6298264,44847343.2014309,207478.074889794,10339.6025117326,1558065.00765438,0.387096774193548,0.960998810939358,1.41123470522803,4.75379310344828,11.5379310344828,14.1920689655172,15.0958843159066,15.0446051167964,10.1249425287356,7.61601779755284,1.9764367816092,-1.77864293659622,6.77686391648447
"20",2009,-20.708195542775,-311.613568518709,53214459.2447499,43666153.626025,203678.113741924,9946.50560279481,1492294.10554397,-4.02947719688543,-2.20886699507389,1.39788654060067,7.65011494252874,12.2557285873192,13.3963218390805,15.6500556173526,16.8888765294772,12.8749425287356,7.09421579532814,4.31954022988506,-1.9265850945495,6.94689611031658
"21",2010,-20.5347729945895,-330.020546089996,54850894.7131827,45180001.6211119,202406.299175077,10404.9314628124,1510066.03677575,-4.40422691879867,-2.1564039408867,1.21434927697442,6.49735632183908,8.60734149054505,13.7340229885057,17.1397107897664,14.2350389321468,10.6013793103448,6.57842046718576,2.14367816091954,-3.23359288097887,5.91308949979695
"22",2011,-35.0435220125786,-371.374083557952,50732630.9575123,41112873.0948141,200410.308785669,10133.3555793669,1589760.18040513,-1.7293659621802,0.188300492610837,3.49822024471635,9.03609195402299,11.9047830923248,13.6024137931034,13.4866518353726,16.3828698553949,13.7109195402299,7.34371523915462,3.95379310344828,0.259176863181313,7.63646417094832
"23",2012,-31.1861587301587,-397.909519274376,52069204.8772717,42378858.9835452,199433.506526365,10042.5679510346,1711822.98115907,-1.09685393258427,-5.57700598802395,4.72458286985539,5.51218390804598,10.7343715239155,14.5858620689655,15.2698553948832,16.6667408231368,11.7537931034483,7.73915461624027,3.56574712643678,-1.37753058954394,6.87507507706463
"24",2013,-33.0043986254296,-430.802331860579,52949376.6581562,43304814.3948018,196786.288443989,10066.5833158173,1725063.22414119,-1.85150166852058,-4.16773399014778,0.438042269187987,6.11448275862069,7.72903225806452,12.8772413793103,17.1509454949944,15.5790878754171,12.061724137931,8.94638487208009,1.54310344827586,-0.299221357063404,6.34346562317919
"25",2014,-31.2159666666667,-459.962561904762,48993014.5534564,39349849.1580426,196534.740501778,9963.92143452535,1760548.29538081,0.0887652947719688,0.649137931034483,3.85072302558398,7.4164367816092,9.16384872080089,14.3132183908046,14.5174638487208,13.3569521690768,12.2633333333333,9.63203559510567,5.02701149425287,0.507119021134594,7.5655038005191
"26",2015,-32.6884615384615,-487.558873626374,48528170.3885655,38844668.3050197,195495.604026227,10059.0622871985,1798511.42130502,-0.88020022246941,-2.44741379310345,3.15973303670745,6.67563218390805,10.6114571746385,14.8629885057471,18.8972191323693,16.6362625139043,10.317816091954,6.84605116796441,4.59114942528736,2.0853170189099,7.61300101965146
"27",2016,-22.9813725490196,-506.073753501401,48817387.8260167,39301956.8995734,193894.739163319,9899.86817344468,1717901.73167383,-0.453281423804227,0.867063020214031,1.48309232480534,6.04137931034483,9.30222469410456,13.2702298850575,16.2625139043382,15.8451612903226,13.6340229885057,6.36329254727475,2.82448275862069,-0.127252502780868,7.10941073308359
"28",2017,-26.0094059405941,-534.733394625177,47976814.0746146,38291522.5836573,191482.992578779,10583.6447825227,1744290.53129612,-4.67408231368187,1.31120689655172,5.26451612903226,5.78816091954023,11.119021134594,16.3088505747126,16.2578420467186,16.4661846496107,9.85816091954023,8.493659621802,1.7,-1.84627363737486,7.1706039117538
"29",2018,-24.0423611111111,-556.348675595238,46476813.8929849,36975941.4387173,190253.733966529,10132.6977389761,1724985.17888946,1.31523915461624,-3.97770935960591,1.07252502780868,9.06068965517241,11.6332591768632,15.1464367816092,17.413681868743,17.0005561735261,13.5945977011494,8.91590656284761,3.71988505747126,0.527586206896552,7.95188783392482
"30",2019,-22.0185823754789,-552.342983032293,46215839.4759301,36850669.0340046,186903.787728698,10410.3284921809,1590297.85803814,-3.18798665183537,1.07118226600985,3.43659621802002,5.8867816091954,7.58876529477197,16.3637931034483,17.4266963292547,16.150723025584,12.4254022988506,9.41423804226919,2.56747126436782,1.4607341490545,7.55036641241591
